population,side,profile,group,tokens,token_share,distinct_tokens,ubiquitous_token_share,mean_idf
canonical_corpus,target,cleaned,brand,18463,0.09752374312004142,1846,0.00016248713643503222,7.334342755692871
canonical_corpus,target,cleaned,canonical,67881,0.35855544639178527,3745,0.2231994225188197,4.435946325462183
canonical_corpus,target,cleaned,mode_type,2696,0.014240589906929082,5,0.0,3.759349978168227
canonical_corpus,target,cleaned,structured,100278,0.5296802205812443,357,0.40469494804443645,2.5736748755772147
source_corpus,source,cleaned,brand,101426,0.05145941887071979,2422,0.0002070475026127423,7.3363540216070815
source_corpus,source,cleaned,title,487771,0.24747512671297164,12799,0.0017016181773824193,5.691307268252737
source_corpus,source,cleaned,attributes,788053,0.39982597577866963,891,0.10721867691640029,3.51188431285691
source_corpus,source,cleaned,structured,593740,0.30123947863763895,501,0.5635429649341462,2.343141903021353
review_pairs,source,cleaned,brand,816,0.053504688217166085,496,0.0,7.329326008039698
review_pairs,source,cleaned,title,4086,0.26791685791095665,1329,0.0009789525208027412,5.778174855601255
review_pairs,source,cleaned,attributes,5492,0.3601075339322012,357,0.13073561544064094,3.4575961088463063
review_pairs,source,cleaned,structured,4857,0.3184709199396761,149,0.5633106856084003,2.376419730088127
review_pairs,target,cleaned,brand,797,0.09997491219267436,486,0.0,7.4368820541455
review_pairs,target,cleaned,canonical,2754,0.34545910687405923,547,0.2392883079157589,4.3859888901729365
review_pairs,target,cleaned,mode_type,115,0.01442548921224285,5,0.0,3.7573685691385266
review_pairs,target,cleaned,structured,4306,0.5401404917210236,141,0.41709242916860195,2.572432426480768
