sku_id,score,source_brand,target_brand,source_brand_tokens,target_brand_tokens,source_title_tokens,target_title_tokens,source_attributes_tokens,target_attributes_tokens,source_structured_tokens,target_structured_tokens,source_has_pack_group,target_has_pack_group,before_shared_tokens,before_union_tokens,before_jaccard,legacy_no_evidence_shared_tokens,legacy_no_evidence_union_tokens,legacy_no_evidence_jaccard,cleaned_shared_tokens,cleaned_union_tokens,cleaned_jaccard
153415775,0.7499290108680725,Powerking,Powerking,1,1,3,0,16,0,10,8,True,False,14,36,0.3888888888888889,11,29,0.3793103448275862,17,27,0.6296296296296297
510711467,0.7498963475227356,Marcel,Marcel,1,1,6,0,15,0,11,9,True,False,33,69,0.4782608695652174,14,51,0.27450980392156865,15,29,0.5172413793103449
69888784,0.7476968169212341,Dr. Smoothie,Dr. Smoothie,2,2,8,0,5,0,6,4,True,False,17,27,0.6296296296296297,9,27,0.3333333333333333,9,15,0.6
1029228545,0.7469336986541748,Barsmith,Barsmith,1,1,3,0,1,0,2,2,True,True,14,25,0.56,3,22,0.13636363636363635,4,7,0.5714285714285714
122543235,0.7466442584991455,Edeka,Edeka,1,1,5,0,9,0,8,10,True,True,34,55,0.6181818181818182,11,52,0.21153846153846154,13,25,0.52
141909509,0.7423567175865173,Sinalco,Sinalco,1,1,7,0,13,0,13,11,True,False,31,49,0.6326530612244898,18,48,0.375,20,32,0.625
210057699,0.7399104237556458,Possmei,Possmei,1,1,10,0,9,0,2,0,True,False,12,25,0.48,2,25,0.08,6,17,0.35294117647058826
131805237,0.7371225357055664,Mehukatti,Mehukatti,1,1,7,0,11,0,15,13,True,False,38,71,0.5352112676056338,19,53,0.3584905660377358,22,32,0.6875
869480020,0.7349408864974976,Pin,Pin,1,1,3,0,11,0,8,6,True,False,32,53,0.6037735849056604,9,46,0.1956521739130435,12,21,0.5714285714285714
203843461,0.7337026596069336,Clean Drink,Clean Drink,2,2,7,0,20,0,6,4,True,False,11,37,0.2972972972972973,8,34,0.23529411764705882,9,30,0.3
438179574,0.7333974242210388,Marcel,Marcel,1,1,5,0,18,0,13,11,True,False,35,64,0.546875,18,57,0.3157894736842105,19,37,0.5135135135135135
53911412,0.7284268140792847,Bezoya,Bezoya,1,1,8,0,8,0,6,6,True,False,30,75,0.4,6,44,0.13636363636363635,5,24,0.20833333333333334
762727084,0.7273557186126709,Valio,Valio,1,1,9,0,21,0,11,9,True,False,36,66,0.5454545454545454,15,50,0.3,15,33,0.45454545454545453
299103058,0.7183927297592163,Sunny Delight,Sunny Delight,2,2,9,0,22,0,12,10,True,False,36,63,0.5714285714285714,18,58,0.3103448275862069,18,38,0.47368421052631576
297816288,0.7168700695037842,Olympos,Olympos,1,1,7,0,11,0,8,6,True,False,32,52,0.6153846153846154,10,47,0.2127659574468085,12,24,0.5
56590130,0.7097259759902954,Solares,Solares,1,1,5,0,8,0,4,2,True,False,29,48,0.6041666666666666,3,44,0.06818181818181818,4,16,0.25
779986442,0.6999224424362183,The Juice Company,The Juice Company,2,2,8,0,24,0,15,13,True,False,38,61,0.6229508196721312,23,60,0.38333333333333336,24,43,0.5581395348837209
872371973,0.6992005109786987,Vi Drate,Vi Drate,2,2,7,0,32,0,8,6,True,False,34,75,0.4533333333333333,10,68,0.14705882352941177,14,42,0.3333333333333333
1040564365,0.6551476716995239,Gonrgy,Gonrgy,1,1,4,0,25,0,9,7,True,False,18,64,0.28125,12,41,0.2926829268292683,12,37,0.32432432432432434
76600491,0.6486645936965942,Angel Specialty Products,Angel Specialty Products,3,3,11,0,7,0,6,4,True,False,21,40,0.525,10,40,0.25,13,23,0.5652173913043478
597396465,0.6465214490890503,Javy,Javy,1,1,17,0,28,0,11,9,True,False,36,67,0.5373134328358209,13,65,0.2,17,44,0.38636363636363635
12609331,0.6462134122848511,Lowicz,Lowicz,1,1,2,0,13,0,8,6,True,False,32,62,0.5161290322580645,9,50,0.18,10,23,0.43478260869565216
551621389,0.6057490110397339,Poli,Poli,1,1,5,0,6,0,2,0,True,False,7,20,0.35,1,19,0.05263157894736842,4,12,0.3333333333333333
162881892,0.5969367623329163,DubbelFrisss,DubbelFrisss,1,1,6,0,9,0,8,8,True,False,32,62,0.5161290322580645,9,49,0.1836734693877551,11,25,0.44
