population,field,records,populated,populated_share
canonical_corpus,mode_brand,13250,13250,1.0
canonical_corpus,mode_flavor,13250,9830,0.7418867924528302
canonical_corpus,mode_type,13250,7205,0.5437735849056604
canonical_corpus,salient_ngrams,13250,13250,1.0
canonical_corpus,description_evidence,13250,13250,1.0
canonical_corpus,breadcrumb_evidence,13250,13250,1.0
canonical_corpus,volume,13250,12348,0.9319245283018868
canonical_corpus,pack,13250,3342,0.25222641509433963
canonical_corpus,package_type,13250,2712,0.20467924528301887
canonical_corpus,flavor,13250,9830,0.7418867924528302
canonical_corpus,carbonation,13250,10843,0.8183396226415094
canonical_corpus,sweetener,13250,5813,0.43871698113207547
canonical_corpus,pulp,13250,304,0.022943396226415093
source_corpus,brand,71623,71623,1.0
source_corpus,title,71623,71623,1.0
source_corpus,attributes,71623,71623,1.0
source_corpus,description,71623,71623,1.0
source_corpus,category_path,71623,71623,1.0
source_corpus,barcode,71623,71623,1.0
source_corpus,category,71623,71623,1.0
source_corpus,volume,71623,65194,0.910238331262304
source_corpus,pack,71623,71623,1.0
source_corpus,package_type,71623,13378,0.1867835751085545
source_corpus,flavor,71623,49956,0.697485444619745
source_corpus,carbonation,71623,56267,0.785599597894531
source_corpus,sweetener,71623,22094,0.30847632743671727
source_corpus,pulp,71623,1241,0.01732683635145135
