product_id,rep_id
6916,38279
12782,13530
16627,7346
19126,27362
27474,29439
34496,9318
39336,10056
46853,5043
47377,1184
53078,312
54071,59730
55603,857
58152,8886
69409,2126
79033,36017
85456,37531
86506,23471
87716,28490
90732,31017
103202,28101
103900,3309
110231,28882
119335,37789
132081,5473
133474,58086
142226,37890
151294,11933
155003,56196
159124,31749
165169,8401
167310,60998
177326,36172
180303,858
186734,32674
190715,30721
201694,15726
212534,6983
216248,57137
222514,27397
229704,48979
243593,28491
251502,37163
261773,4154
278102,39959
293039,24072
311411,59825
322301,18026
331779,31200
364808,6388
371839,1200
380063,58388
385418,31695
406395,38170
411793,60092
421222,36729
423104,30111
434519,15853
437861,55755
448669,15412
449508,12441
449643,32585
451484,1098
461676,859
475992,60572
478635,5474
487105,59870
487521,10796
487709,37164
501666,4607
507108,34902
508640,44371
510306,35097
514738,3109
515157,37988
522930,33636
530642,41124
532884,4174
533524,24769
535730,31873
536347,47265
553174,27523
553806,8269
565819,32266
568703,30172
601096,35594
602070,38473
604362,10263
605636,25359
610777,36173
610825,39569
619513,12442
623817,56014
625568,40805
628537,56844
659814,2938
661793,11387
662952,3862
667040,3863
676280,11388
676527,34112
704201,12696
718577,28492
726360,30877
730994,35247
744755,28603
753047,33228
756754,41674
757245,23790
760225,37532
766035,32675
770030,31874
794634,28672
827354,11389
828033,41675
830559,36018
834104,1887
838034,33458
838476,28102
838922,60115
856449,11475
858227,38331
860734,32411
864307,9956
869150,6652
885227,12755
887437,56084
891196,10481
909063,29565
913491,34615
927432,36174
927607,27174
928227,5836
936529,35248
959779,2210
960357,353
965423,34457
971229,8889
992052,1366
994172,29157
994858,29566
995864,55785
997502,25283
1007820,60562
1032459,59858
1054023,60258
1073438,34739
1083174,10329
1085117,23041
1110961,3280
1113664,28493
1119545,14902
1122316,32552
1126831,2342
1157929,60630
1163704,39819
1163851,13766
1197323,28444
1200991,36958
1216971,40735
1219938,56463
1228143,37272
1232517,35163
1239538,13037
1287916,17806
1291799,36145
1292510,1408
1300398,7054
1307724,51123
1325645,2625
1328586,38946
1338717,37533
1339217,13038
1341756,36959
1341989,7347
1347901,5473
1355035,23195
1360484,4175
1374615,11839
1388314,37534
1390190,2350
1391286,4429
1397605,55674
1403747,5475
1411970,49268
1414864,57858
1415579,31201
1425237,56436
1425466,26207
1449417,36175
1463283,36176
1473091,59782
1473923,31202
1485735,24489
1487868,32108
1495097,35532
1499041,29202
1503299,23464
1505986,36960
1506581,14731
1552299,56594
1554417,55675
1557595,56389
1560949,34740
1578284,5476
1581306,57399
1597002,56422
1619262,9435
1619724,14871
1651311,7818
1669518,37951
1682428,1099
1684672,60287
1692316,22771
1697758,32267
1699817,57135
1702767,6074
1714639,36862
1723513,860
1729669,35175
1746198,55734
1754284,12303
1761889,11148
1762894,34033
1763244,35861
1770814,33444
1772225,23565
1786864,31203
1800098,41125
1806798,39908
1837087,11863
1837550,3671
1846705,30779
1849980,59989
1850388,5477
1858383,13531
1867936,4600
1875053,36939
1880575,32889
1882854,34903
1891638,34113
1899851,59956
1907156,33327
1915107,10896
1955248,60588
1961486,13410
1994385,55808
1996647,7348
2011118,13039
2011442,6612
2018275,42065
2024312,56390
2032739,59732
2049169,59969
2059134,37157
2070068,15932
2074633,57538
2090098,24973
2090757,2134
2100497,29956
2100612,6653
2101938,40192
2127373,32268
2134856,8887
2143269,32081
2149856,30418
2156624,23858
2173193,57572
2176410,34702
2186442,32269
2197181,28494
2200626,60329
2211526,28883
2221205,22763
2222491,57276
2222780,31949
2230830,56391
2234310,36045
2238709,464
2239670,57498
2246906,28604
2256067,44372
2264242,11880
2286206,24492
2317993,12608
2339116,12977
2342604,5584
2367168,5044
2388722,12793
2393791,32890
2407557,58054
2411563,5473
2415462,36730
2426868,59612
2430473,41407
2445132,7059
2446148,5478
2448462,59970
2450668,35028
2453392,8888
2454722,55786
2454936,13040
2456963,58123
2458325,30122
2464545,58202
2505971,3309
2511742,9504
2513011,59680
2513686,10324
2514550,16332
2529649,37531
2533721,30054
2534587,57058
2540672,31204
2572371,33079
2590186,30233
2598217,29128
2600563,5926
2603919,28495
2624455,60130
2640993,29238
2642767,6796
2643198,34114
2662983,5479
2664075,12343
2675805,59362
2691419,41300
2694012,32867
2705246,59957
2705254,5045
2710206,59728
2715009,10897
2728022,10315
2728238,29335
2744937,31205
2751630,39270
2770528,59760
2778826,31165
2787420,23078
2795207,58205
2796516,29874
2797552,33637
2818806,39256
2824719,2040
2846516,29159
2847725,7349
2849820,29570
2852526,28971
2880687,5046
2886573,12367
2895395,2127
2901955,775
2905865,34741
2912265,36575
2935062,38078
2936959,28884
2953280,26607
2990053,12015
2994365,38355
3014024,2794
3019247,29719
3031833,50697
3036133,2131
3050533,10996
3054465,12016
3055962,12908
3064686,40866
3082692,60557
3099565,33459
3100990,60723
3119336,14053
3120713,10316
3123061,5480
3132246,6794
3147667,46376
3152895,4154
3153233,32676
3154513,7350
3157618,4751
3182893,863
3198010,60194
3211954,29720
3225198,34832
3228299,5481
3233161,5482
3237459,1319
3242280,30522
3261322,7040
3271745,3826
3287126,28041
3309955,35135
3310307,58056
3315077,28579
3321451,12756
3326002,32677
3331995,24867
3340073,23566
3349005,14749
3354663,57149
3362459,24489
3367762,24647
3382381,10057
3385767,55288
3388687,43094
3393260,24304
3407426,37273
3426555,35136
3426991,56749
3429248,3178
3467180,33328
3482223,11476
3488333,34115
3507432,40318
3520349,23784
3524257,35137
3525141,11390
3529523,24126
3536184,55547
3539622,35249
3539974,4791
3541395,32408
3544292,14054
3546497,24688
3547762,5483
3550700,8270
3596007,22817
3598456,34458
3611196,2119
3614728,35250
3651630,4465
3656334,33048
3663448,57828
3667770,56747
3671797,24072
3674340,34459
3675313,28490
3681021,32678
3682671,33850
3683537,7055
3687286,9957
3687382,4841
3693882,32753
3712974,34116
3713097,9319
3714941,14055
3729143,4176
3758487,56993
3766436,55907
3778416,2626
